date,open,high,low,close,volume
2024-10-04,124.94,125.04,121.83,124.92,244465552
2024-10-07,124.99,130.64,124.95,127.72,346250233
2024-10-08,130.26,133.48,129.42,132.89,285722485
2024-10-09,134.11,134.52,131.38,132.65,246191612
2024-10-10,131.91,135.0,131.0,134.81,242311337
2024-10-11,134.01,135.78,133.66,134.8,170209474
2024-10-14,136.47,139.6,136.3,138.07,232347668
2024-10-15,137.87,138.57,128.74,131.6,377831021
2024-10-16,133.98,136.62,131.58,135.72,264879720
2024-10-17,139.34,140.89,136.87,136.93,306435921
2024-10-18,138.665,138.9,137.28,138.0,176090184
2024-10-21,138.13,143.71,138.0,143.71,264554514
2024-10-22,142.91,144.42,141.78,143.59,226311589
2024-10-23,142.03,142.43,137.46,139.56,285930038
2024-10-24,140.82,141.35,138.46,140.41,172354888
2024-10-25,140.93,144.13,140.8,141.54,205122109
2024-10-28,143.0,143.14,140.05,140.52,173586745
2024-10-29,140.285,142.2598,138.9,141.25,157593634
2024-10-30,139.54,140.33,136.81,139.335,179418082
2024-10-31,137.6,137.61,132.1106,132.76,270039641
2024-11-01,134.7,137.31,134.57,135.4,207127838
2024-11-04,137.21,138.96,135.57,136.05,187528173
2024-11-05,137.45,140.3701,137.33,139.91,160537373
2024-11-06,142.96,146.49,141.96,145.61,242043945
2024-11-07,146.39,148.93,146.17,148.88,207323303
2024-11-08,148.77,149.77,146.26,147.63,175665830
2024-11-11,148.68,148.85,143.57,145.26,182325620
2024-11-12,146.78,149.65,146.01,148.29,198634738
2024-11-13,149.07,149.33,145.9,146.27,191903267
2024-11-14,147.64,149.0,145.55,146.76,194463301
2024-11-15,144.87,145.24,140.08,141.98,250132869
2024-11-18,139.5,141.55,137.15,140.15,221865993
2024-11-19,141.32,147.13,140.99,147.01,227834912
2024-11-20,147.41,147.56,142.73,145.89,309871654
2024-11-21,149.35,152.89,140.7,146.67,400946570
2024-11-22,145.93,147.16,141.1,141.95,236406154
2024-11-25,141.99,142.05,135.82,136.02,344941875
2024-11-26,137.7,139.3,135.67,136.92,190287654
2024-11-27,135.01,137.22,131.8,135.34,226370912
2024-11-29,136.78,139.35,136.05,138.25,141863156
2024-12-02,138.83,140.45,137.825,138.63,171682777
2024-12-03,138.26,140.54,137.95,140.26,164413965
2024-12-04,141.995,145.79,140.29,145.14,231224295
2024-12-05,145.11,146.54,143.95,145.06,172621180
2024-12-06,144.6,145.7,141.31,142.44,188505573
2024-12-09,138.97,139.95,137.13,138.81,189308625
2024-12-10,139.01,141.82,133.79,135.07,210020888
2024-12-11,137.36,140.17,135.21,139.31,184905192
2024-12-12,137.08,138.44,135.8,137.34,159211393
2024-12-13,138.94,139.6,132.54,134.25,231514881
2024-12-16,134.18,134.4,130.42,132.0,237951130
2024-12-17,129.09,131.59,126.86,130.39,259410263
2024-12-18,133.86,136.7,128.28,128.91,277444533
2024-12-19,131.76,134.03,129.55,130.68,209719210
2024-12-20,129.81,135.28,128.22,134.7,306528553
2024-12-23,136.28,139.79,135.1201,139.67,176053506
2024-12-24,140.0,141.9,138.65,140.22,105156989
2024-12-26,139.7,140.85,137.73,139.93,116519090
2024-12-27,138.55,139.02,134.71,137.01,170582603
2024-12-30,134.83,140.27,134.02,137.49,167734700
2024-12-31,138.03,138.07,133.83,134.29,155659211
2025-01-02,136.0,138.88,134.63,138.31,198247166
2025-01-03,140.01,144.9,139.73,144.47,229322478
2025-01-06,148.59,152.156,147.8201,149.43,265377359
2025-01-07,153.03,153.13,140.01,140.14,351782174
2025-01-08,142.58,143.95,137.56,140.11,227349948
2025-01-10,137.45,139.92,134.22,135.91,207602514
2025-01-13,129.99,133.49,129.51,133.23,204808914
2025-01-14,136.05,136.38,130.05,131.76,195590485
2025-01-15,133.65,136.45,131.29,136.24,185217338
2025-01-16,138.64,138.75,133.49,133.57,209235583
2025-01-17,136.69,138.5,135.4649,137.71,201188760
2025-01-21,139.16,141.83,137.09,140.83,197748985
2025-01-22,144.66,147.79,143.67,147.07,237651395
2025-01-23,145.05,147.23,143.72,147.22,155915549
2025-01-24,148.37,148.97,141.88,142.62,234657635
2025-01-27,124.8,128.4,116.7,118.42,818830895
2025-01-28,121.81,129.0,116.25,128.99,579666350
2025-01-29,126.5,126.89,120.05,123.7,467120640
2025-01-30,123.1,125.0,118.1,124.65,392925469
2025-01-31,123.78,127.85,119.19,120.07,390372899
2025-02-03,114.75,118.57,113.01,116.66,371235677
2025-02-04,116.96,121.2,116.7,118.65,256550040
2025-02-05,121.76,125.0,120.76,124.83,263110629
2025-02-06,127.42,128.77,125.21,128.68,251483574
2025-02-07,129.22,130.37,125.0,129.84,228186298
2025-02-10,130.09,135.0,129.96,133.57,216989086
2025-02-11,132.58,134.48,131.02,132.8,178902379
2025-02-12,130.02,132.24,129.08,131.14,160278552
2025-02-13,131.555,136.5,131.17,135.29,197429975
2025-02-14,136.48,139.25,135.5,138.85,195479557
2025-02-18,141.27,143.44,137.925,139.4,219176627
2025-02-19,139.51,141.36,137.22,139.23,167536006
2025-02-20,140.03,140.66,136.7901,140.11,143903583
2025-02-21,140.04,141.46,134.03,134.43,228217585
2025-02-24,136.56,138.59,130.08,130.28,251381137
2025-02-25,129.98,130.2,124.44,126.63,271428711
2025-02-26,129.985,133.73,128.49,131.28,322553814
2025-02-27,135.0,135.01,120.01,120.15,443175846
2025-02-28,118.02,125.09,116.4,124.92,389091145
2025-03-03,123.51,123.7,112.28,114.06,411381373
2025-03-04,110.645,119.31,110.11,115.99,398163305
2025-03-05,117.58,118.2781,114.51,117.3,284337886
2025-03-06,113.53,115.35,110.22,110.57,321181861
2025-03-07,111.25,113.48,107.56,112.69,341755468
2025-03-10,109.9,111.85,105.46,106.98,361107562
2025-03-11,106.99,112.236,104.77,108.76,354865692
2025-03-12,114.12,116.76,112.88,115.74,323857454
2025-03-13,117.03,117.76,113.79,115.58,299033131
2025-03-14,118.61,121.88,118.15,121.67,277593455
2025-03-17,122.74,122.89,118.03,119.53,255501481
2025-03-18,118.0,119.02,114.54,115.43,299686944
2025-03-19,117.27,120.445,115.68,117.52,273426225
2025-03-20,116.55,120.2,116.47,118.53,248829749
2025-03-21,116.94,117.99,115.42,117.7,266498528
2025-03-24,119.88,122.22,119.34,121.41,228452534
2025-03-25,120.545,121.29,118.92,120.69,167447198
2025-03-26,118.73,118.84,112.71,113.76,296431667
2025-03-27,111.35,114.45,110.66,111.43,236902055
2025-03-28,111.485,112.87,109.0701,109.67,229872549
2025-03-31,105.13,110.955,103.65,108.38,299212653
2025-04-01,108.515,110.2,106.47,110.15,222614034
2025-04-02,107.29,111.98,106.79,110.42,220601243
2025-04-03,103.51,105.63,101.6,101.8,338769412
2025-04-04,98.91,100.13,92.11,94.31,532273810
2025-04-07,87.46,101.75,86.62,97.64,611041347
2025-04-08,103.805,105.85,94.46,96.3,476243392
2025-04-09,98.89,115.1,97.5301,114.33,612918336
2025-04-10,109.37,110.86,99.15,107.57,437812353
2025-04-11,108.5,111.5499,107.48,110.93,313417265
2025-04-14,114.11,114.29,109.07,110.71,264705049
2025-04-15,110.97,113.615,110.5,112.2,228966900
2025-04-16,104.55,106.79,100.45,104.49,397016870
2025-04-17,104.45,104.47,100.05,101.49,292517465
2025-04-21,98.77,99.44,95.04,96.91,288501136
2025-04-22,98.78,99.811,97.28,98.89,241004784
2025-04-23,104.52,104.8,102.02,102.71,247525971
2025-04-24,103.475,106.54,103.11,106.43,220815041
2025-04-25,106.85,111.92,105.73,111.01,251064672
2025-04-28,109.69,110.3699,106.02,108.73,207708479
2025-04-29,107.67,110.1999,107.44,109.02,170444263
2025-04-30,104.47,108.92,104.08,108.92,235044611
2025-05-01,113.08,114.94,111.3,111.61,236121507
2025-05-02,114.18,115.4,113.37,114.5,190194778
2025-05-05,112.905,114.665,112.66,113.82,133163241
2025-05-06,111.48,114.74,110.822,113.54,158525621
2025-05-07,113.045,117.68,112.2818,117.06,207827821
2025-05-08,118.25,118.68,115.85,117.37,198428122
2025-05-09,117.35,118.23,115.21,116.65,132972189
2025-05-12,121.97,123.0,120.28,123.0,225023345
2025-05-13,124.98,131.2189,124.47,129.93,330430105
2025-05-14,133.195,135.435,131.68,135.34,281180830
2025-05-15,134.295,136.3,132.66,134.83,226632563
2025-05-16,136.22,136.35,133.46,135.4,226542451
2025-05-19,132.39,135.87,132.39,135.57,193154571
2025-05-20,134.29,134.58,132.62,134.38,161514247
2025-05-21,133.06,137.4,130.59,131.8,270608738
2025-05-22,132.23,134.25,131.55,132.83,187343954
2025-05-23,130.0,132.68,129.16,131.29,198821324
2025-05-27,134.15,135.66,133.31,135.5,192953613
2025-05-28,136.025,137.25,134.79,134.81,304021146
2025-05-29,142.245,143.49,137.91,139.19,370615167
2025-05-30,138.715,139.62,132.92,135.13,333170851
2025-06-02,135.49,138.12,135.4,137.38,197663116
2025-06-03,138.78,142.0,137.95,141.22,225578783
2025-06-04,142.19,142.39,139.545,141.92,167120819
2025-06-05,142.17,144.0,138.83,139.99,232410759
2025-06-06,142.51,143.27,141.51,141.72,153986153
2025-06-09,143.19,145.0,141.94,142.63,185114494
2025-06-10,142.69,144.29,141.525,143.96,155881897
2025-06-11,144.61,144.99,141.87,142.83,167694044
2025-06-12,141.97,145.0,141.85,145.0,162364991
2025-06-13,142.48,143.58,140.855,141.97,180820565
2025-06-16,143.345,146.175,143.2001,144.69,183133666
2025-06-17,144.49,145.22,143.78,144.12,139108000
2025-06-18,144.005,145.65,143.12,145.48,161494121
2025-06-20,145.45,146.2,142.65,143.85,242956157
2025-06-23,142.5,144.78,142.03,144.17,154308941
2025-06-24,145.56,147.96,145.5,147.9,187566121
2025-06-25,149.27,154.45,149.26,154.31,269146471
2025-06-26,155.975,156.715,154.0,155.02,198145746
2025-06-27,156.04,158.71,155.255,157.75,263234539
2025-06-30,158.4,158.66,155.96,157.99,194580316
2025-07-01,156.29,157.2,151.49,153.3,213143621
2025-07-02,152.98,157.6,152.97,157.25,171224111
2025-07-03,158.37,160.98,157.77,159.34,143716055
2025-07-07,158.2,159.31,157.342,158.24,140138975
2025-07-08,159.33,160.22,158.39,160.0,138133025
2025-07-09,161.22,164.42,161.16,162.88,183656443
2025-07-10,164.32,164.5,161.61,164.1,167704075
2025-07-11,163.715,167.89,163.47,164.92,193633263
2025-07-14,165.37,165.49,162.02,164.07,136975754
2025-07-15,171.19,172.4,169.195,170.7,230627350
2025-07-16,171.06,171.75,168.9,171.37,158831509
2025-07-17,172.02,174.16,170.83,173.0,160841119
2025-07-18,173.64,174.25,171.26,172.41,146456416
2025-07-21,172.75,173.38,171.0,171.38,123126136
2025-07-22,171.34,171.39,164.58,167.03,193114327
2025-07-23,169.53,171.26,167.97,170.78,154082197
2025-07-24,172.44,173.83,171.3,173.74,128984628
2025-07-25,173.61,174.72,172.96,173.5,122316792
2025-07-28,174.02,177.0,173.97,176.75,140023521
2025-07-29,177.96,179.38,175.02,175.51,154077512
2025-07-30,176.51,179.89,176.04,179.27,174312208
2025-07-31,182.9,183.3,175.93,177.87,221685446
2025-08-01,174.09,176.54,170.89,173.72,204528985
2025-08-04,175.16,180.2,174.52,180.0,148174609
2025-08-05,179.62,180.26,175.9,178.26,156407621
2025-08-06,176.325,179.9,176.25,179.42,137192265
2025-08-07,181.57,183.88,178.795,180.77,151878365
2025-08-08,181.55,183.3,180.4,182.7,123396679
2025-08-11,182.05,183.84,180.25,182.06,138323191
2025-08-12,182.96,184.48,179.46,183.16,145729202
2025-08-13,182.615,183.97,179.35,181.59,179871724
2025-08-14,179.75,183.02,179.46,182.02,129553959
2025-08-15,181.88,181.9,178.0417,180.45,156602161
2025-08-18,180.6,182.9375,180.59,182.01,132007959
2025-08-19,182.43,182.5,175.49,175.64,185229219
2025-08-20,175.165,176.0,168.801,175.4,215142725
2025-08-21,174.85,176.9,173.81,174.98,140040850
2025-08-22,172.61,178.59,171.2,177.99,172789427
2025-08-25,178.35,181.91,176.57,179.81,163012789
2025-08-26,180.055,182.39,178.81,181.77,168688186
2025-08-27,181.98,182.49,179.1,181.6,235518949
2025-08-28,180.82,184.47,176.41,180.17,281787824
2025-08-29,178.11,178.15,173.145,174.18,243257873
2025-09-02,170.0,172.379,167.22,170.78,231164853
2025-09-03,171.06,172.41,168.875,170.62,161466040
2025-09-04,170.57,171.86,169.41,171.66,141670144
2025-09-05,168.03,169.03,164.07,167.02,224441435
2025-09-08,167.55,170.96,167.35,168.31,163769133
2025-09-09,169.09,170.98,166.7401,170.76,157548392
2025-09-10,176.64,179.29,175.47,177.33,226852020
2025-09-11,179.68,180.28,176.48,177.17,151159274
2025-09-12,177.77,178.595,176.45,177.82,124911026
2025-09-15,175.67,178.85,174.51,177.75,147061559
2025-09-16,177.0,177.5,174.38,174.88,140737775
2025-09-17,172.64,173.2,168.41,170.29,211843817
2025-09-18,173.98,177.1,172.96,176.24,191763313
2025-09-19,175.77,178.08,175.18,176.67,237182143
2025-09-22,175.3,184.55,174.7053,183.61,269637001
2025-09-23,181.97,182.42,176.21,178.43,192559552
2025-09-24,179.77,179.78,175.4,176.97,143564116
2025-09-25,174.48,180.26,173.125,177.69,191586733
2025-09-26,178.17,179.77,174.93,178.19,148573732
2025-09-29,180.425,184.0,180.32,181.85,193063455
2025-09-30,182.08,187.35,181.48,186.58,236981032
2025-10-01,185.24,188.14,183.9,187.24,173844901
2025-10-02,189.6,191.05,188.06,188.89,136805821
2025-10-03,189.19,190.36,185.38,187.62,137596896
2025-10-06,185.5,187.23,183.33,185.54,157678104
2025-10-07,186.23,189.06,184.0,185.04,140088008
2025-10-08,186.57,189.6,186.54,189.11,130168861
2025-10-09,192.225,195.3,191.06,192.57,182997234
2025-10-10,193.505,195.62,182.05,183.16,268774359
2025-10-13,187.965,190.1099,185.96,188.32,153482755
2025-10-14,184.77,184.8,179.7,180.03,205641380
2025-10-15,184.8,184.87,177.29,179.83,214450482
2025-10-16,182.23,183.28,179.77,181.81,179723309
2025-10-17,180.18,184.1,179.75,183.22,173135217
2025-10-20,183.13,185.2,181.73,182.64,128544711
2025-10-21,182.785,182.785,179.8,181.16,124240168
2025-10-22,181.14,183.44,176.76,180.28,162249552
2025-10-23,180.42,183.03,179.7901,182.16,111363718
2025-10-24,183.835,187.47,183.5,186.26,131296677
2025-10-27,189.99,192.0,188.4318,191.49,153452704
2025-10-28,193.05,203.15,191.91,201.03,297986180
2025-10-29,207.98,212.1899,204.775,207.04,308829564
2025-10-30,205.15,206.16,201.41,202.89,178864443
2025-10-31,206.45,207.97,202.07,202.49,179802178
2025-11-03,208.08,211.335,205.56,206.88,180267285
2025-11-04,203.0,203.9699,197.93,198.69,188919320
2025-11-05,198.77,202.92,194.65,195.21,166849081
2025-11-06,196.42,197.62,186.38,188.08,223029778
2025-11-07,184.9,188.32,178.91,188.15,264942255
2025-11-10,195.11,199.94,193.79,199.05,198897134
2025-11-11,195.155,195.42,191.3,193.16,176483327
2025-11-12,195.72,195.89,191.13,193.8,154935263
2025-11-13,191.05,191.44,183.85,186.86,207423074
2025-11-14,182.86,191.01,180.58,190.17,186591856
2025-11-17,185.965,189.0,184.32,186.6,173628858
2025-11-18,183.375,184.8,179.65,181.36,213598877
2025-11-19,184.79,187.855,182.8301,186.52,247246436
2025-11-20,195.95,196.0,179.85,180.64,343504849
2025-11-21,181.235,184.56,172.93,178.88,346926153
2025-11-24,179.49,183.5,176.48,182.55,256618335
2025-11-25,174.91,178.16,169.55,177.82,320600271
2025-11-26,181.63,182.91,178.24,180.26,183852010
2025-11-28,179.01,179.29,176.5,177.0,121332776
2025-12-01,174.76,180.3,173.68,179.92,188130955
2025-12-02,181.76,185.66,180.0,181.46,182632230
2025-12-03,181.08,182.45,179.1101,179.59,165138023
2025-12-04,181.62,184.515,179.96,183.38,167364857
2025-12-05,183.89,184.66,180.91,182.41,143971098
2025-12-08,182.64,188.0,182.4,185.55,191927261
2025-12-09,185.56,185.7167,183.32,184.97,142372621
2025-12-10,184.965,185.48,182.035,183.78,162785370
2025-12-11,180.275,181.32,176.62,180.93,182136641
2025-12-12,181.11,182.82,174.62,175.02,204274918
2025-12-15,177.936,178.415,175.03,176.29,164775636
2025-12-16,176.26,178.49,174.9,177.72,148588098
2025-12-17,176.1,176.13,170.31,170.94,222775464
2025-12-18,174.53,176.15,171.82,174.14,176096001
2025-12-19,176.665,181.45,176.34,180.99,324925927
2025-12-22,183.92,184.16,182.35,183.69,129064369
2025-12-23,182.97,189.33,182.9,189.21,174873621
2025-12-24,187.94,188.91,186.59,188.61,65528545
2025-12-26,189.92,192.69,188.0,190.53,139740292
2025-12-29,187.71,188.755,185.91,188.22,120006103
2025-12-30,188.24,188.99,186.93,187.54,97687274
